station,city,latitude,longitude,PM2.5,PM10,NO2,SO2,CO,overall_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,hour,target_aqi_next_6h,timestamp
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,12.94,77.59,44.0,37.0,36.0,18.0,14.0,44.0,28.7,21,11.9,85,915.2,12,44.0,2026-02-13T12:17:06.460076
"Housing Board, Hanumangarh - RSPCB",Hanumangarh,29.61,74.28,61.0,110.0,0.0,0.0,19.0,110.0,23.5,43,2.0,315,995.0,12,110.0,2026-02-13T12:17:06.460076
"Huda Sector, Fatehabad - HSPCB",Fatehabad,29.5,75.47,32.0,48.0,19.0,10.0,0.0,48.0,22.4,51,4.7,293,991.4,12,48.0,2026-02-13T12:17:06.460076
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,17.52,78.28,72.0,81.0,8.0,8.0,20.0,81.0,29.5,31,10.9,107,954.4,12,81.0,2026-02-13T12:17:06.460076
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,17.53,78.22,0.0,70.0,0.0,10.0,32.0,70.0,29.6,31,10.9,107,955.6,12,70.0,2026-02-13T12:17:06.460076
"IESD Banaras Hindu University, Varanasi - UPPCB",Varanasi,25.26,83.0,32.0,69.0,2.0,31.0,11.0,69.0,25.3,58,7.1,294,1006.8,12,69.0,2026-02-13T12:17:06.460076
"IGI Airport (T3), Delhi - IMD",Delhi,28.56,77.12,120.0,145.0,76.0,0.0,49.0,145.0,21.3,61,7.4,284,989.1,12,145.0,2026-02-13T12:17:06.460076
"IGSC Planetarium Complex, Patna - BSPCB",Patna,25.61,85.13,122.0,0.0,1.0,5.0,28.0,122.0,25.5,43,7.2,288,1009.3,12,122.0,2026-02-13T12:17:06.460076
"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,28.68,77.3,128.0,134.0,59.0,18.0,79.0,134.0,21.9,51,7.5,287,991.9,12,134.0,2026-02-13T12:17:06.460076
"IIT Delhi, Delhi - IITM",Delhi,28.54,77.19,133.0,142.0,43.0,0.0,59.0,142.0,21.3,55,7.5,287,989.5,12,142.0,2026-02-13T12:17:06.460076
"IITH Kandi, Hyderabad - TSPCB",Hyderabad,17.59,78.13,63.0,0.0,17.0,16.0,37.0,63.0,30.1,30,9.4,108,956.8,12,63.0,2026-02-13T12:17:06.460076
"ITO, Delhi - CPCB",Delhi,28.63,77.24,187.0,121.0,56.0,17.0,50.0,187.0,21.9,51,7.5,287,991.5,12,187.0,2026-02-13T12:17:06.460076
"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,16.8,75.72,30.0,62.0,11.0,3.0,24.0,62.0,29.5,29,12.3,97,945.9,12,62.0,2026-02-13T12:17:06.460076
"Idgah Hills, Bhopal - MPPCB",Bhopal,23.26,77.38,102.0,121.0,25.0,12.0,31.0,121.0,27.7,42,0.8,297,959.0,12,121.0,2026-02-13T12:17:06.460076
"Indira Colony Vistar, Pali - RSPCB",Pali,25.77,73.34,102.0,145.0,36.0,9.0,36.0,145.0,27.7,32,2.9,7,991.3,12,145.0,2026-02-13T12:17:06.460076
"Indirapuram, Ghaziabad - UPPCB",Ghaziabad,28.65,77.36,212.0,159.0,67.0,24.0,51.0,212.0,22.0,52,7.1,285,992.4,12,212.0,2026-02-13T12:17:06.460076
"Indra Nagar, Jhunjhunu - RSPCB",Jhunjhunu,28.11,75.39,68.0,125.0,34.0,7.0,36.0,125.0,23.2,41,7.0,282,977.2,12,125.0,2026-02-13T12:17:06.460076
"Industrial Area, Hajipur - BSPCB",Hajipur,25.7,85.25,162.0,136.0,79.0,4.0,38.0,162.0,25.2,48,6.9,279,1010.1,12,162.0,2026-02-13T12:17:06.460076
"Jadavpur, Kolkata - WBPCB",Kolkata,22.5,88.37,225.0,154.0,42.0,4.0,92.0,225.0,26.6,46,7.5,343,1013.3,12,225.0,2026-02-13T12:17:06.460076
"Jagamohanpur, Keonjhar - OSPCB",Keonjhar,21.64,85.6,58.0,112.0,10.0,10.0,60.0,112.0,28.4,24,5.2,12,962.8,12,112.0,2026-02-13T12:17:06.460076
"Jahangirpuri, Delhi - DPCC",Delhi,28.73,77.17,254.0,184.0,114.0,51.0,58.0,254.0,21.3,62,7.3,281,991.6,12,254.0,2026-02-13T12:17:06.460076
"Jai Bhim Nagar, Meerut - UPPCB",Meerut,28.95,77.76,108.0,120.0,13.0,10.0,39.0,120.0,21.6,58,8.7,277,990.4,12,120.0,2026-02-13T12:17:06.460076
"Jawahar Nagar, Puducherry - PPCC",Puducherry,11.93,79.8,51.0,59.0,20.0,8.0,22.0,59.0,30.1,57,11.5,41,1012.2,12,59.0,2026-02-13T12:17:06.460076
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,28.58,77.23,171.0,191.0,70.0,15.0,177.0,191.0,21.9,51,7.5,287,992.0,12,191.0,2026-02-13T12:17:06.460076
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,12.92,77.58,44.0,78.0,26.0,18.0,21.0,78.0,29.4,20,14.0,89,913.3,12,78.0,2026-02-13T12:17:06.460076
"Jhalamand, Jodhpur - RSPCB",Jodhpur,26.22,73.07,49.0,95.0,30.0,6.0,22.0,95.0,26.0,33,1.3,56,993.2,12,95.0,2026-02-13T12:17:06.460076
"Jhunsi, Prayagraj - UPPCB",Prayagraj,25.43,81.92,59.0,78.0,6.0,26.0,18.0,78.0,25.4,57,7.1,300,1004.8,12,78.0,2026-02-13T12:17:06.460076
"Jigani, Bengaluru - KSPCB",Bengaluru,12.78,77.63,54.0,89.0,18.0,18.0,43.0,89.0,30.1,20,15.1,90,914.2,12,89.0,2026-02-13T12:17:06.460076
"Jigar Colony, Moradabad - UPPCB",Moradabad,28.86,78.77,61.0,88.0,25.0,31.0,40.0,88.0,21.0,67,7.6,267,993.7,12,88.0,2026-02-13T12:17:06.460076
"Kalabhavan, Dharwad - KSPCB",Dharwad,15.46,75.01,0.0,96.0,28.0,12.0,54.0,96.0,29.5,24,17.4,96,934.8,12,96.0,2026-02-13T12:17:06.460076
"Kalal Majra, Khanna - PPCB",Khanna,30.74,76.21,86.0,0.0,0.0,18.0,48.0,86.0,21.9,57,7.1,311,985.1,12,86.0,2026-02-13T12:17:06.460076
"Kalidaspur, Balasore - OSPCB",Balasore,21.51,86.89,187.0,189.0,22.0,20.0,36.0,189.0,29.4,29,11.2,21,1012.4,12,189.0,2026-02-13T12:17:06.460076
"Kalindi Kunj, Khurja - UPPCB",Khurja,28.23,77.87,41.0,123.0,7.0,14.0,43.0,123.0,21.1,64,7.6,278,993.4,12,123.0,2026-02-13T12:17:06.460076
"Kamalnath Nagar, Bettiah - BSPCB",Bettiah,26.8,84.52,0.0,0.0,0.0,0.0,63.0,63.0,25.3,48,5.6,255,1006.6,12,63.0,2026-02-13T12:17:06.460076
"Kamble Tarf Birwadi, Mahad - MPCB",Mahad,18.1,73.48,98.0,143.0,45.0,36.0,27.0,143.0,33.8,30,6.8,238,1011.8,12,143.0,2026-02-13T12:17:06.460076
"Kandivali East, Mumbai - MPCB",Mumbai,19.21,72.87,29.0,104.0,0.0,25.0,19.0,104.0,28.1,55,7.1,311,1010.8,12,104.0,2026-02-13T12:17:06.460076
"Kandivali West, Mumbai - BMC",Mumbai,19.22,72.83,98.0,132.0,45.0,8.0,0.0,132.0,28.2,55,7.1,311,1012.5,12,132.0,2026-02-13T12:17:06.460076
"Kanuru, Vijayawada - APPCB",Vijayawada,16.49,80.7,65.0,62.0,18.0,16.0,54.0,65.0,30.5,39,5.8,112,1012.7,12,65.0,2026-02-13T12:17:06.460076
"Kareemganj, Gaya - BSPCB",Gaya,24.79,84.99,63.0,144.0,0.0,42.0,1.0,144.0,25.7,46,8.4,317,1002.4,12,144.0,2026-02-13T12:17:06.460076
"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,8.56,76.89,0.0,94.0,7.0,5.0,21.0,94.0,27.3,69,11.1,205,1004.7,12,94.0,2026-02-13T12:17:06.460076
"Karni Colony, Nagaur - RSPCB",Nagaur,27.21,73.73,57.0,109.0,24.0,8.0,32.0,109.0,26.6,23,2.5,352,982.9,12,109.0,2026-02-13T12:17:06.460076
"Kasarvadavali, Thane - MPCB",Thane,19.27,72.97,0.0,0.0,0.0,0.0,62.0,62.0,32.1,38,4.2,329,1012.5,12,62.0,2026-02-13T12:17:06.460076
"Kashiram Nagar, Moradabad - UPPCB",Moradabad,28.85,78.74,51.0,75.0,25.0,128.0,28.0,128.0,21.0,67,7.6,267,993.2,12,128.0,2026-02-13T12:17:06.460076
"Kasturi Nagar, Bengaluru - KSPCB",Bengaluru,13.0,77.66,58.0,80.0,32.0,14.0,45.0,80.0,28.7,21,11.9,85,916.1,12,80.0,2026-02-13T12:17:06.460076
"Katargam, Surat - Nexteng Enviro",Surat,21.22,72.83,241.0,202.0,76.0,62.0,135.0,241.0,31.4,46,5.4,20,1012.0,12,241.0,2026-02-13T12:17:06.460076
"Katraj Dairy, Pune - MPCB",Pune,18.45,73.85,71.0,103.0,40.0,3.0,66.0,103.0,30.8,32,10.1,94,941.9,12,103.0,2026-02-13T12:17:06.460076
"Katrap, Badlapur - MPCB",Badlapur,19.16,73.23,93.0,128.0,30.0,10.0,36.0,128.0,33.5,35,4.3,336,1009.5,12,128.0,2026-02-13T12:17:06.460076
"Khadakpada, Kalyan - MPCB",Kalyan,19.25,73.14,79.0,81.0,36.0,0.0,0.0,81.0,32.8,36,1.9,22,1011.3,12,81.0,2026-02-13T12:17:06.460076
"Khaira, Boisar - MPCB",Boisar,19.79,72.76,74.0,110.0,33.0,7.0,40.0,110.0,27.7,63,9.5,335,1012.1,12,110.0,2026-02-13T12:17:06.460076
"Kharahiya Basti, Araria - BSPCB",Araria,26.15,87.45,107.0,85.0,2.0,41.0,64.0,107.0,26.5,48,6.5,267,1008.7,12,107.0,2026-02-13T12:17:06.460076
"Khatikan Mohalla, Dausa - RSPCB",Dausa,26.9,76.33,47.0,88.0,44.0,7.0,0.0,88.0,24.8,45,5.4,250,978.0,12,88.0,2026-02-13T12:17:06.460076
"Kherwadi_Bandra East, Mumbai - MPCB",Mumbai,19.06,72.85,120.0,119.0,0.0,4.0,45.0,120.0,26.3,70,6.5,304,1012.7,12,120.0,2026-02-13T12:17:06.460076
"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,19.17,72.92,0.0,94.0,30.0,6.0,13.0,94.0,25.9,70,6.5,304,1005.1,12,94.0,2026-02-13T12:17:06.460076
"Khrew, Pampore - JKPCC",Pampore,34.03,75.01,39.0,41.0,24.0,2.0,0.0,41.0,12.0,58,3.6,360,834.2,12,41.0,2026-02-13T12:17:06.460076
"Khunmoh, Srinagar - JKPCC",Srinagar,34.06,74.96,33.0,32.0,16.0,3.0,0.0,33.0,12.3,58,3.6,360,839.4,12,33.0,2026-02-13T12:17:06.460076
"Knowledge Park - III, Greater Noida - UPPCB",Greater Noida,28.47,77.48,109.0,168.0,73.0,3.0,151.0,168.0,22.3,49,7.6,289,993.3,12,168.0,2026-02-13T12:17:06.460076
"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida,28.56,77.45,0.0,178.0,90.0,16.0,29.0,178.0,22.3,49,7.6,289,992.0,12,178.0,2026-02-13T12:17:06.460076
"Kodungaiyur, Chennai - TNPCB",Chennai,13.13,80.26,74.0,112.0,12.0,9.0,55.0,112.0,29.2,56,12.0,41,1013.1,12,112.0,2026-02-13T12:17:06.460076
"Kokapet, Hyderabad - TSPCB",Hyderabad,17.39,78.34,62.0,89.0,0.0,0.0,24.0,89.0,29.4,32,11.4,108,956.9,12,89.0,2026-02-13T12:17:06.460076
"Kompally Municipal Office, Hyderabad - TSPCB",Hyderabad,17.54,78.49,60.0,86.0,14.0,12.0,24.0,86.0,28.9,35,10.5,117,950.1,12,86.0,2026-02-13T12:17:06.460076
"Kopripada-Vashi, Navi Mumbai - MPCB",Navi Mumbai,19.09,73.01,90.0,119.0,48.0,7.0,30.0,119.0,32.1,39,3.1,306,1012.0,12,119.0,2026-02-13T12:17:06.460076
"Krishak Nagar, Raipur - CECB",Raipur,21.24,81.71,0.0,0.0,20.0,9.0,45.0,45.0,29.4,31,5.2,78,982.4,12,45.0,2026-02-13T12:17:06.460076
"Krishna Nagar, Bharatpur - RSPCB",Bharatpur,27.22,77.51,52.0,84.0,33.0,7.0,37.0,84.0,23.8,56,5.1,278,996.3,12,84.0,2026-02-13T12:17:06.460076
"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,26.91,80.99,23.0,31.0,33.0,39.0,12.0,39.0,23.8,47,8.8,289,1001.7,12,39.0,2026-02-13T12:17:06.460076
"Kurla, Mumbai - MPCB",Mumbai,19.09,72.89,87.0,110.0,7.0,37.0,19.0,110.0,26.1,70,6.5,304,1009.5,12,110.0,2026-02-13T12:17:06.460076
"LGBI Airport, Guwahati - PCBA",Guwahati,26.11,91.59,75.0,97.0,15.0,11.0,39.0,97.0,25.7,59,6.2,280,1008.4,12,97.0,2026-02-13T12:17:06.460076
"Lalbagh, Lucknow - CPCB",Lucknow,26.85,80.94,200.0,152.0,46.0,10.0,59.0,200.0,23.9,47,8.8,289,1002.5,12,200.0,2026-02-13T12:17:06.460076
"Lingaraj Nagar, Hubballi - KSPCB",Hubballi,15.37,75.12,42.0,61.0,11.0,2.0,10.0,61.0,29.7,22,16.8,99,943.8,12,61.0,2026-02-13T12:17:06.460076
"Lingraj Mandir, Bhubaneswar - OSPCB",Bhubaneswar,20.24,85.84,122.0,121.0,52.0,17.0,102.0,122.0,30.4,36,3.6,127,1012.3,12,122.0,2026-02-13T12:17:06.460076
"Lodhi Road, Delhi - IMD",Delhi,28.59,77.23,94.0,138.0,44.0,0.0,83.0,138.0,21.9,51,7.5,287,991.9,12,138.0,2026-02-13T12:17:06.460076
"Lohiyanagar, Begusarai - BSPCB",Begusarai,25.43,86.14,101.0,91.0,10.0,24.0,0.0,101.0,25.0,54,6.3,294,1010.6,12,101.0,2026-02-13T12:17:06.460076
"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,25.56,91.9,11.0,0.0,0.0,14.0,18.0,35.0,16.2,44,10.9,56,844.9,12,35.0,2026-02-13T12:17:06.460076
"MD University, Rohtak - HSPCB",Rohtak,28.52,76.37,0.0,0.0,0.0,0.0,34.0,34.0,22.7,50,7.2,297,990.6,12,34.0,2026-02-13T12:17:06.460076
"MIDC Ambad, Nashik - MPCB",Nashik,19.95,73.73,53.0,98.0,20.0,19.0,31.0,98.0,29.2,34,10.0,116,941.5,12,98.0,2026-02-13T12:17:06.460076
"MIDC Chilkalthana, Aurangabad - MPCB",Aurangabad,19.88,75.39,99.0,95.0,48.0,16.0,48.0,99.0,29.3,36,7.8,167,949.8,12,99.0,2026-02-13T12:17:06.460076
"MIDC Khutala, Chandrapur - MPCB",Chandrapur,19.98,79.23,141.0,128.0,14.0,9.0,39.0,141.0,31.1,40,4.8,117,991.8,12,141.0,2026-02-13T12:17:06.460076
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Muzaffarpur,26.14,85.37,97.0,65.0,3.0,10.0,44.0,97.0,25.5,42,7.2,267,1008.7,12,97.0,2026-02-13T12:17:06.460076
"MM Ground, Bikaner - RSPCB",Bikaner,28.02,73.29,80.0,146.0,53.0,11.0,32.0,146.0,23.9,40,3.7,331,988.9,12,146.0,2026-02-13T12:17:06.460076
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",Gorakhpur,26.73,83.43,75.0,88.0,11.0,43.0,4.0,88.0,24.2,56,8.7,277,1006.1,12,88.0,2026-02-13T12:17:06.460076
"Maguda Nagar, Indore - IMC",Indore,22.75,75.89,87.0,63.0,13.0,12.0,30.0,87.0,29.2,37,3.6,143,954.7,12,87.0,2026-02-13T12:17:06.460076
"Mahabir Colliery, Asansol - WBPCB",Asansol,23.62,87.11,150.0,119.0,17.0,9.0,90.0,150.0,28.0,30,7.9,344,1003.1,12,150.0,2026-02-13T12:17:06.460076
"Mahal, Nagpur - MPCB",Nagpur,21.14,79.11,0.0,165.0,52.0,35.0,58.0,165.0,29.1,40,8.0,95,980.9,12,165.0,2026-02-13T12:17:06.460076
"Mahape, Navi Mumbai - MPCB",Navi Mumbai,19.11,73.01,59.0,130.0,86.0,20.0,0.0,130.0,32.1,39,3.1,306,1012.1,12,130.0,2026-02-13T12:17:06.460076
"Maharaj Bada, Gwalior - MPPCB",Gwalior,26.2,78.15,167.0,159.0,16.0,10.0,17.0,167.0,25.9,52,7.4,284,989.8,12,167.0,2026-02-13T12:17:06.460076
"Mahashweta Nagar, Ujjain - MPPCB",Ujjain,23.16,75.8,114.0,100.0,62.0,10.0,48.0,114.0,27.7,49,3.3,84,960.4,12,114.0,2026-02-13T12:17:06.460076
"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Kalaburagi,17.34,76.85,47.0,60.0,16.0,4.0,0.0,60.0,30.4,28,10.8,120,963.1,12,60.0,2026-02-13T12:17:06.460076
"Mahesh Nagar, Malegaon - MPCB",Malegaon,20.56,74.53,104.0,120.0,8.0,31.0,31.0,120.0,30.2,35,11.5,92,966.8,12,120.0,2026-02-13T12:17:06.460076
"Mahishkapur Road_B-Zone, Durgapur - WBPCB",Durgapur,23.57,87.31,71.0,85.0,30.0,11.0,36.0,85.0,28.5,30,8.0,350,1004.2,12,85.0,2026-02-13T12:17:06.460076
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,28.61,77.24,155.0,148.0,96.0,11.0,63.0,155.0,21.9,51,7.5,287,992.0,12,155.0,2026-02-13T12:17:06.460076
"Malad West, Mumbai - IITM",Mumbai,19.2,72.82,0.0,151.0,81.0,27.0,44.0,151.0,28.2,55,7.1,311,1012.4,12,151.0,2026-02-13T12:17:06.460076
"Maldahiya, Varanasi - UPPCB",Varanasi,25.32,83.0,59.0,64.0,2.0,27.0,29.0,64.0,25.3,56,7.5,287,1006.1,12,64.0,2026-02-13T12:17:06.460076
"Manali Village, Chennai - TNPCB",Chennai,13.17,80.26,53.0,82.0,6.0,18.0,29.0,82.0,29.2,56,12.0,41,1013.0,12,82.0,2026-02-13T12:17:06.460076
"Manali, Chennai - CPCB",Chennai,13.16,80.26,0.0,0.0,10.0,14.0,46.0,46.0,29.2,56,12.0,41,1013.1,12,46.0,2026-02-13T12:17:06.460076
"Mandir Marg, Delhi - DPCC",Delhi,28.64,77.2,118.0,145.0,96.0,18.0,32.0,145.0,21.7,51,7.5,287,988.7,12,145.0,2026-02-13T12:17:06.460076
"Mandor, Jodhpur - RSPCB",Jodhpur,26.36,73.05,50.0,59.0,21.0,7.0,17.0,59.0,27.4,24,1.5,76,988.3,12,59.0,2026-02-13T12:17:06.460076
"Mangala, Bilaspur - NTPC",Bilaspur,22.09,82.14,81.0,88.0,25.0,25.0,43.0,88.0,29.0,34,4.1,165,984.9,12,88.0,2026-02-13T12:17:06.460076
"Maninagar, Ahmedabad - GPCB",Ahmedabad,23.0,72.59,127.0,112.0,106.0,32.0,22.0,127.0,31.2,36,3.8,73,1008.9,12,127.0,2026-02-13T12:17:06.460076
"Manoharpur, Agra - UPPCB",Agra,27.24,78.02,58.0,74.0,26.0,5.0,20.0,74.0,23.3,55,6.4,286,998.0,12,74.0,2026-02-13T12:17:06.460076
"Mansarovar Sector-12, Jaipur - RSPCB",Jaipur,26.84,75.77,94.0,134.0,65.0,10.0,62.0,134.0,26.5,29,8.1,257,971.8,12,134.0,2026-02-13T12:17:06.460076
"Marhatal, Jabalpur - MPPCB",Jabalpur,23.17,79.93,109.0,138.0,31.0,13.0,91.0,138.0,27.1,43,4.1,322,970.4,12,138.0,2026-02-13T12:17:06.460076
"Mariam Nagar, Purnia - BSPCB",Purnia,25.37,87.12,96.0,74.0,6.0,13.0,56.0,96.0,25.4,53,7.5,305,1010.2,12,96.0,2026-02-13T12:17:06.460076
"Masoom Colony, Parbhani - MPCB",Parbhani,19.27,76.76,55.0,75.0,15.0,12.0,11.0,75.0,30.6,31,5.2,146,967.4,12,75.0,2026-02-13T12:17:06.460076
"Mavdi, Rajkot - Nexteng Enviro ",Rajkot,22.25,70.78,203.0,170.0,39.0,64.0,111.0,203.0,28.7,41,8.1,21,999.5,12,203.0,2026-02-13T12:17:06.460076
"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,25.27,87.01,22.0,84.0,7.0,49.0,74.0,84.0,25.6,53,7.1,311,1012.1,12,84.0,2026-02-13T12:17:06.460076
"Mazgaon, Mumbai - IITM",Mumbai,18.97,72.84,112.0,106.0,82.0,21.0,77.0,112.0,26.2,70,6.5,304,1011.0,12,112.0,2026-02-13T12:17:06.460076
"Meelavittan, Thoothukudi - TNPCB",Thoothukudi,8.82,78.1,0.0,63.0,13.0,10.0,37.0,63.0,30.3,56,13.7,30,1010.8,12,63.0,2026-02-13T12:17:06.460076
"Meher Colony, Baripada - OSPCB",Baripada,21.94,86.73,69.0,77.0,13.0,18.0,37.0,77.0,29.0,31,13.7,18,1008.9,12,77.0,2026-02-13T12:17:06.460076
"Mhada Colony, Pune - IITM",Pune,18.57,73.93,125.0,173.0,74.0,0.0,89.0,173.0,29.7,33,11.1,103,951.7,12,173.0,2026-02-13T12:17:06.460076
"Mindspace-Malad West, Mumbai - MPCB",Mumbai,19.19,72.83,92.0,115.0,60.0,22.0,71.0,115.0,28.2,55,7.1,311,1012.7,12,115.0,2026-02-13T12:17:06.460076
"Mini Secretariat, Charkhi Dadri - HSPCB",Charkhi Dadri,28.59,76.27,164.0,136.0,15.0,10.0,13.0,164.0,23.0,49,6.9,298,990.6,12,164.0,2026-02-13T12:17:06.460076
"Mirchaibari, Katihar - BSPCB",Katihar,25.56,87.55,70.0,100.0,9.0,19.0,68.0,100.0,26.7,44,7.4,293,1010.5,12,100.0,2026-02-13T12:17:06.460076
"Model Town, Patiala - PPCB",Patiala,30.35,76.37,47.0,76.0,18.0,14.0,33.0,76.0,22.2,53,8.4,310,986.3,12,76.0,2026-02-13T12:17:06.460076
"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,19.84,75.24,123.0,110.0,19.0,14.0,39.0,123.0,30.0,36,9.6,167,954.8,12,123.0,2026-02-13T12:17:06.460076
"Moti Doongri, Alwar - RSPCB",Alwar,27.55,76.61,74.0,123.0,68.0,14.0,87.0,123.0,23.7,33,9.5,295,984.5,12,123.0,2026-02-13T12:17:06.460076
"Motilal Nehru NIT, Prayagraj - UPPCB",Prayagraj,25.49,81.86,63.0,62.0,12.0,27.0,30.0,63.0,25.3,54,6.8,295,1004.4,12,63.0,2026-02-13T12:17:06.460076
"Mudtra Sili, Jalore - RSPCB",Jalore,25.34,72.63,83.0,113.0,44.0,8.0,39.0,113.0,28.9,26,5.9,38,995.9,12,113.0,2026-02-13T12:17:06.460076
"Mulund West, Mumbai - MPCB",Mumbai,19.18,72.94,77.0,0.0,16.0,0.0,0.0,77.0,31.8,39,3.1,306,1006.5,12,77.0,2026-02-13T12:17:06.460076
"Mundka, Delhi - DPCC",Delhi,28.68,77.08,238.0,231.0,76.0,26.0,50.0,238.0,21.3,61,7.4,284,990.9,12,238.0,2026-02-13T12:17:06.460076
"Municipal Corporation Office, Dharuhera -  HSPCB",Dharuhera,28.21,76.8,134.0,108.0,50.0,7.0,78.0,134.0,22.9,49,7.2,297,987.9,12,134.0,2026-02-13T12:17:06.460076
"Muradpur, Patna - BSPCB",Patna,25.62,85.15,80.0,112.0,11.0,8.0,34.0,112.0,25.5,43,7.2,288,1008.8,12,112.0,2026-02-13T12:17:06.460076
"Murthal, Sonipat - HSPCB",Sonipat,29.03,77.06,136.0,0.0,13.0,8.0,4.0,136.0,21.0,64,6.6,283,990.9,12,136.0,2026-02-13T12:17:06.460076
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,26.12,85.36,89.0,0.0,12.0,6.0,0.0,89.0,25.5,42,7.2,267,1008.9,12,89.0,2026-02-13T12:17:06.460076
"NISE Gwal Pahari, Gurugram - IMD",Gurugram,28.42,77.15,151.0,160.0,0.0,0.0,56.0,160.0,22.2,51,8.6,292,987.0,12,160.0,2026-02-13T12:17:06.460076
"NSI Kalyanpur, Kanpur - UPPCB",Kanpur,26.51,80.25,40.0,84.0,25.0,43.0,32.0,84.0,23.2,54,9.0,299,1001.6,12,84.0,2026-02-13T12:17:06.460076
"NSIT Dwarka, Delhi - CPCB",Delhi,28.61,77.03,167.0,146.0,18.0,15.0,47.0,167.0,21.7,59,7.4,284,991.6,12,167.0,2026-02-13T12:17:06.460076
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Hyderabad,17.43,78.57,53.0,78.0,12.0,14.0,34.0,78.0,29.1,32,9.9,109,959.2,12,78.0,2026-02-13T12:17:06.460076
"Nagar Nigam, Prayagraj - UPPCB",Prayagraj,25.45,81.83,50.0,60.0,5.0,34.0,39.0,60.0,25.2,54,6.8,295,1003.7,12,60.0,2026-02-13T12:17:06.460076
"Nagla Bhau, Firozabad - UPPCB",Firozabad,27.17,78.38,61.0,77.0,17.0,0.0,16.0,77.0,22.8,59,6.4,286,997.3,12,77.0,2026-02-13T12:17:06.460076
"Naharlagun, Naharlagun - APSPCB",Naharlagun,27.1,93.68,188.0,178.0,7.0,10.0,25.0,188.0,24.3,37,9.4,162,993.0,12,188.0,2026-02-13T12:17:06.460076
"Najafgarh, Delhi - DPCC",Delhi,28.57,76.93,113.0,92.0,61.0,22.0,33.0,113.0,21.8,59,7.4,284,992.1,12,113.0,2026-02-13T12:17:06.460076
"Narela, Delhi - DPCC",Delhi,28.82,77.1,232.0,168.0,35.0,17.0,53.0,232.0,20.8,67,6.6,279,991.7,12,232.0,2026-02-13T12:17:06.460076
"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,28.34,77.32,193.0,266.0,20.0,5.0,34.0,266.0,21.1,61,8.1,283,992.8,12,266.0,2026-02-13T12:17:06.460076
"Navy Nagar-Colaba, Mumbai - IITM",Mumbai,18.9,72.81,151.0,141.0,99.0,0.0,74.0,151.0,26.1,69,8.6,345,1012.4,12,151.0,2026-02-13T12:17:06.460076
"Nawapara SECL Colony, Chhal - CECB",Chhal,22.12,83.14,56.0,0.0,9.0,0.0,0.0,56.0,30.3,24,6.4,297,985.5,12,56.0,2026-02-13T12:17:06.460076
"Nayapura, Kota - RSPCB",Kota,25.2,75.86,105.0,114.0,60.0,11.0,34.0,114.0,26.2,57,1.5,166,986.4,12,114.0,2026-02-13T12:17:06.460076
"Nehru Nagar, Delhi - DPCC",Delhi,28.57,77.25,223.0,166.0,78.0,29.0,74.0,223.0,21.9,51,7.5,287,990.8,12,223.0,2026-02-13T12:17:06.460076
"Nehru Nagar, Kanpur - UPPCB",Kanpur,26.47,80.32,67.0,56.0,52.0,14.0,55.0,67.0,23.3,52,8.7,300,1001.1,12,67.0,2026-02-13T12:17:06.460076
"New Colony, Bundi - RSPCB",Bundi,25.44,75.64,94.0,104.0,37.0,11.0,30.0,104.0,26.5,50,2.5,188,984.7,12,104.0,2026-02-13T12:17:06.460076
"New DM Office, Arrah - BSPCB",Arrah,25.56,84.66,0.0,0.0,7.0,0.0,55.0,55.0,25.2,47,8.4,295,1008.7,12,55.0,2026-02-13T12:17:06.460076
"New Industrial Town, Faridabad - HSPCB",Faridabad,28.39,77.3,195.0,134.0,25.0,8.0,12.0,195.0,21.6,57,8.4,290,992.6,12,195.0,2026-02-13T12:17:06.460076
"New Malakpet, Hyderabad - TSPCB",Hyderabad,17.37,78.51,72.0,92.0,16.0,18.0,31.0,92.0,29.7,30,11.3,107,959.1,12,92.0,2026-02-13T12:17:06.460076
